"","ticker","name","cik","occurrence","date_added","date_removed","name_when_added","name_when_removed"
"603","DNB",NA,NA,1,NA,2017-04-05,NA,"Dun & Bradstreet"
"604","SWN",NA,NA,1,NA,2017-04-04,NA,"Southwestern Energy"
"605","URBN",NA,NA,1,NA,2017-03-20,NA,"Urban Outfitters"
"606","FTR",NA,NA,1,NA,2017-03-20,NA,"Frontier Communications"
"607","FSLR",NA,NA,1,NA,2017-03-20,NA,"First Solar"
"608","HAR",NA,NA,1,NA,2017-03-16,NA,"Harman International"
"609","LLTC",NA,NA,1,NA,2017-03-13,NA,"Linear Technology"
"610","ENDP",NA,NA,1,2015-01-27,2017-03-02,"Endo International","Endo International"
"611","PBI",NA,NA,1,NA,2017-03-01,NA,"Pitney Bowes"
"612","SE",NA,NA,1,NA,2017-02-28,NA,"Spectra Energy"
"613","STJ",NA,NA,1,NA,2017-01-05,NA,"St Jude Medical"
"614","OI",NA,NA,2,2008-12-31,2016-12-02,"Owens-Illinois","Owens-Illinois"
"615","LM",NA,NA,1,NA,2016-12-02,NA,"Legg Mason"
"616","AA",NA,NA,1,NA,2016-11-01,NA,"Alcoa Inc"
"617","DO",NA,NA,1,NA,2016-09-30,NA,"Diamond Offshore Drilling"
"618","HOT",NA,NA,1,NA,2016-09-22,NA,"Starwood"
"619","EMC",NA,NA,1,NA,2016-09-08,NA,"EMC Corporation"
"620","CPGX",NA,NA,1,2015-07-02,2016-07-05,"Columbia Pipeline Group","Columbia Pipeline Group"
"621","GAS",NA,NA,2,2011-12-12,2016-07-01,"AGL Resources.","AGL Resources"
"622","TE",NA,NA,1,NA,2016-07-01,NA,"TECO Energy"
"623","CVC",NA,NA,1,2010-12-17,2016-06-22,"Cablevision","Cablevision Systems"
"624","BXLT",NA,NA,1,2015-07-01,2016-06-03,"Baxalta","Baxalta"
"625","CCE",NA,NA,1,NA,2016-05-31,NA,"Coca-Cola Enterprises"
"626","ARG",NA,NA,1,2009-09-28,2016-05-23,"Airgas","Airgas"
"627","TWC",NA,NA,1,NA,2016-05-18,NA,"Time Warner Cable"
"628","SNDK",NA,NA,1,NA,2016-05-13,NA,"SanDisk"
"629","ADT",NA,NA,1,2012-10-01,2016-05-03,"ADT","ADT"
"630","GME",NA,NA,1,2007-12-13,2016-04-25,"GameStop","GameStop"
"631","THC",NA,NA,1,NA,2016-04-18,NA,"Tenet Healthcare"
"632","CAM",NA,NA,1,NA,2016-04-04,NA,"Cameron International"
"633","POM",NA,NA,1,NA,2016-03-30,NA,"Pepco Holdings"
"634","ESV",NA,NA,1,2012-07-31,2016-03-30,"Ensco plc (now Valaris)","Ensco plc (now Valaris)"
"635","GMCR",NA,NA,1,2014-03-21,2016-03-07,"Keurig Green Mountain","Keurig Green Mountain"
"636","CNX",NA,NA,1,NA,2016-03-04,NA,"Consol Energy"
"637","PCL",NA,NA,1,NA,2016-02-22,NA,"Plum Creek Timber"
"638","PCP",NA,NA,1,NA,2016-02-01,NA,"Precision Castparts Corporation"
"639","BRCM",NA,NA,1,NA,2016-02-01,NA,"Broadcom Corporation"
"640","FOSL",NA,NA,1,2012-04-03,2016-01-05,"Fossil","Fossil Group"
"641","ALTR",NA,NA,1,NA,2015-12-29,NA,"Altera"
"642","CMCSK",NA,NA,1,2015-09-18,2015-12-15,"Comcast Class K Special","Comcast K Corp"
"643","CSC",NA,NA,1,NA,2015-12-01,NA,"Computer Sciences Corporation"
"644","SIAL",NA,NA,1,NA,2015-11-19,NA,"Sigma-Aldrich"
"645","GNW",NA,NA,1,NA,2015-11-18,NA,"Genworth Financial"
